X,CaptureEventID,Date,Time  24 hour ,Month  1 Jan  ,Year,Species,Number Of Animals,Standing,Resting,Moving,Eating,Interacting,Babies,Camera Site,Longitude  m ,Latitude  m ,Habitat,Amount of Shade,Distance to River  m ,Distance to Confluence  m ,Distance to Kopje  m ,Tree Density Measure,Lion Risk  Wet ,Lion Risk  Dry ,Greeness  Wet ,Greeness  Dry ,Camera Mount,Season,SeasonalGreenness,Predator
1,ASG0002kjm,7/24/10,8:20:10 AM,7,2010,gazellegrants,1,0,0,1,0,0,0,B04,695238,9729497,Dense Woodland,3,1649.2395,2218.615169,6847.218456,7.285714286,0.000496262,0.000477992,5979.5,3844,Tree,Dry,3844,prey
2,ASG0002kjn,7/24/10,10:14:32 AM,7,2010,reedbuck,1,1,0,0,0,0,0,B04,695238,9729497,Dense Woodland,3,1649.2395,2218.615169,6847.218456,7.285714286,0.000496262,0.000477992,5979.5,3844,Tree,Dry,3844,prey
3,ASG0002kjo,7/30/10,3:59:42 AM,7,2010,dikdik,1,1,0,0,0,0,0,B04,695238,9729497,Dense Woodland,3,1649.2395,2218.615169,6847.218456,7.285714286,0.000496262,0.000477992,5979.5,3844,Tree,Dry,3844,prey
4,ASG0002kjp,7/30/10,5:20:22 AM,7,2010,zebra,1,1,0,0,0,0,0,B04,695238,9729497,Dense Woodland,3,1649.2395,2218.615169,6847.218456,7.285714286,0.000496262,0.000477992,5979.5,3844,Tree,Dry,3844,prey
5,ASG0002kjs,7/30/10,8:57:28 PM,7,2010,zebra,1,0,0,0,1,0,0,B04,695238,9729497,Dense Woodland,3,1649.2395,2218.615169,6847.218456,7.285714286,0.000496262,0.000477992,5979.5,3844,Tree,Dry,3844,prey
6,ASG0002kjt,8/1/10,5:35:58 PM,8,2010,gazellegrants,3,0,0,0,0,0,0,B04,695238,9729497,Dense Woodland,3,1649.2395,2218.615169,6847.218456,7.285714286,0.000496262,0.000477992,5979.5,3844,Tree,Dry,3844,prey
7,ASG0002kjx,8/5/10,2:24:04 AM,8,2010,zebra,1,1,0,0,0,0,0,B04,695238,9729497,Dense Woodland,3,1649.2395,2218.615169,6847.218456,7.285714286,0.000496262,0.000477992,5979.5,3844,Tree,Dry,3844,prey
8,ASG0002kk0,8/5/10,2:57:04 AM,8,2010,zebra,1,1,0,0,0,0,0,B04,695238,9729497,Dense Woodland,3,1649.2395,2218.615169,6847.218456,7.285714286,0.000496262,0.000477992,5979.5,3844,Tree,Dry,3844,prey
9,ASG0002kk9,8/20/10,3:37:00 AM,8,2010,porcupine,1,0,0,1,0,0,0,B04,695238,9729497,Dense Woodland,3,1649.2395,2218.615169,6847.218456,7.285714286,0.000496262,0.000477992,5979.5,3844,Tree,Dry,3844,other
10,ASG0000002,7/20/10,3:19:52 PM,7,2010,gazellethomsons,1,0,0,0,1,0,0,B05,694892,9727162,Open Woodland/Shrubs,1.5,1013.889717,699.7965626,5742.552009,5,0.0005352,0.000582477,6215.944444,3936.333333,Tree,Dry,3936.333333,prey
11,ASG0000007,7/22/10,9:47:26 AM,7,2010,gazellethomsons,1,0,0,0,1,0,0,B05,694892,9727162,Open Woodland/Shrubs,1.5,1013.889717,699.7965626,5742.552009,5,0.0005352,0.000582477,6215.944444,3936.333333,Tree,Dry,3936.333333,prey
12,ASG0000009,7/27/10,12:54:32 AM,7,2010,hyenaspotted,1,0,0,1,0,0,0,B05,694892,9727162,Open Woodland/Shrubs,1.5,1013.889717,699.7965626,5742.552009,5,0.0005352,0.000582477,6215.944444,3936.333333,Tree,Dry,3936.333333,predator
13,ASG000000a,7/27/10,6:01:46 PM,7,2010,warthog,1,0,0,0,0,0,0,B05,694892,9727162,Open Woodland/Shrubs,1.5,1013.889717,699.7965626,5742.552009,5,0.0005352,0.000582477,6215.944444,3936.333333,Tree,Dry,3936.333333,prey
